120001,TEST NEDERLAND,Hoogeveenweg,204,2913NI,NIEUWERKERK AD IJSSEL,NL
120002,TEST BELGIE,Hoogeveenenweg,204,B-2913,Nieuwerkerk aan den IJssel,BE
12001,NB-Beheer B.V.,Ringvaartlaan,8,2914VJ,Nieuwerkerk aan den IJssel,NL
12002,XXX-Wegoma B.V.,Postbus,261,6950 AG,Dieren,NL
12003,De Rollecate BV,H.G. Zwerusstraat,3,7951 CZ,STAPHORST,NL
12005,XXX Keers Mijdrecht BV,Vermogenweg,26,3641SR,MIJDRECHT,NL
12006,Samyn BV,Nijverheidslaan,5,B-8890,DADIZELE,BE
12007,XXX-Alcoa Bouw Groep Zwijndrecht,Postbus,31,4190 CA,Geldermalsen,NL
12008,Thoonen Metaalbouw,Bedrijfsweg,9,6541 DC,NIJMEGEN,NL
12009,Dexis Belgium NV,Ekkelgaarden,26,B-3500,Hasselt,BE
1201,Debiteuren huurkoop,,,,,NL
12010,Gouda Holland BV,Blekerstraat,4,2851BL,HAASTRECHT,NL
12011,Elumatec GmbH,Pinacherstraße,61,D 75417,MUHLACKER,DE
12012,XXX-Hendriks Aluminium,Wageningselaan,6,3903 LA,VEENENDAAL,NL
12013,Euro Aluminium BV,Wagenmakerij,2,4760AB,ZEVENBERGEN,NL
12014,Hoens Industrieel,Hofkamp,20,6161DC,GELEEN,NL
12015,Kruba-Kruimer,Tolweg,9,3741LM,BAARN,NL
12016,Metaglas Operations BV,Het Eek,5,4004LM,TIEL,NL
12017,Heycop Metaalindustrie BV,Hoofdveste,1,3992DH,HOUTEN,NL
12018,Niels Nederland BV,Hoogeveenenweg,204,2913 LV,NIEUWERKERK AAN DEN IJSSEL,NL
12019,ABC Display Industry,De Paal,28,1351JE,ALMERE,NL
12020,Erik Verlinden BV,Legebaan,55,B-2560,NIJLEN,BE
12021,ICB BV,Beitel,80,6460 BB,KERKRADE,NL
12022,Hoefnagels Marine B.V.,Technopol,25,5026SB,TILBURG,NL
12023,Joseph Hody SA,Rue Edouard Dinot,11,B-5300,CINEY,BE
12024,American Airfilter BV,PH. Foggstraat,5,7821 AJ,EMMEN,NL
12025,Akuflex BV,Kernweg,18  80,1627 LH,HOORN,NL
12026,Morgo Aluminium BV,Skagerrakstraat,1+4,7202BZ,ZUTPHEN,NL
12027,A.S.W. Staalconstructies,Eindhovensebaan,7,6031 NB,NEDERWEERT,NL
12028,Gemeente Eemsdelta,Fivelpoort,1,9902SR,APPINGEDAM,NL
12029,Van Haaren,Schieweg,25,2627 AN,DELFT,NL
12030,Van Dool Geveltechniek,De Honderet Margen,24,2678AC,DE LIER,NL
12031,Ribbens,Noordzijde Haven,92,4611 GV,BERGEN OP ZOOM,NL
12032,Madiber,Valkeniersstraat,9-11,2984 AZ,RIDDERKERK,NL
12033,Lotin BV,Stuartweg,17,4131NH,VIANEN ZH,NL
12034,Alcoa Compri Projectbouw,Kilweg,17,3336 LL,ZWIJNDRECHT,NL
12035,Bernardon,St. Waldetrudestraat,34,B-2410,HERENTALS,BE
12036,Bartels Service Center BV,Edisonstraat,32,6902PK,ZEVENAAR,NL
12037,Village No 3 Manupal,Zoning Industriel D'achen,,B-5590,CINEY,BE
12038,XXX-Armada Signs BV,Jan Hilgersweg,6-8,5657ES,EINDHOVEN,NL
12039,Bouwond. de Veluwezoom BV,Parallelweg,7,6942 EJ,DIDAM,NL
12040,Buvac BV,Raambrug,52,5531AG,BLADEL,NL
12041,Reklamebedrijf,Parallelweg,1,5953 GW,REUVER,NL
12042,Distinction,Dorpsstraat,26,1657AB,ABBEKERK,NL
12043,XXX-Brakel Hilversum BV,Postbus,743,1200AS,HILVERSUM,NL
12044,Dozon BV,Innovatieweg,6,7007CD,DOETINCHEM,NL
12045,XXX-Alusta Natuurlijke Ventilatietechnie,Penningweg,7,4879AE,ETTEN LEUR,NL
12046,XXX-Tpai,Genkersteenweg,201,B 3500,HASSELT,BE
12047,Geha Industrie BV,De Smalle Zijde,36B,3903 LP,VEENENDAAL,NL
12048,Flakt SA,Av. Herrmann Debroux,17,B-1160,BRUSSEL,BE
12050,XXX-Alubouw Nederland BV,Energiestraat,4,5753 RN,DEURNE,NL
12051,Conradi´s Constructie,Headijk,43,9035 VE,DRONRIJP,NL
12052,NV Metaleuven,Aarschotsesteenweg,12,B-3010,LEUVEN,BE
12053,Van der Peijl Techniek,Lelyweg,15,4612PS,BERGEN OP ZOOM,NL
12054,Van Iersel Geveltechniek,Nieuwe Bredase Baan,6,4825BP,BREDA,NL
12055,Cascade,Damsluisweg,56,1332ED,ALMERE,NL
12056,Duijvenvoorde BV,Middenhavenstraat,48,1976CM,IJMUIDEN,NL
12057,Fokker Air Service BV,Aviolandlaan,31,4631RP,HOOGERHEIDE,NL
12058,Halwema NV,Blikstraat,4,B-2110,WIJNEGEM,BE
